Manufacturer,Model,T_outside [°C],T_out [°C],EER,Group,Pdc [W],P_el [W],Pdc_n,P_el_n
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,30,7,4.5,1.0,3910.0,868.8888888888888,0.7377358490566037,0.5901886792452828
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,30,18,7.0,1.0,4640.0,662.8571428571429,0.8754716981132076,0.45024258760107816
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,25,7,6.3,1.0,2510.0,398.4126984126984,0.47358490566037736,0.27061994609164414
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,25,18,9.9,1.0,2980.0,301.01010101010104,0.5622641509433962,0.20445969125214408
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,20,7,8.56,1.0,2880.0,336.44859813084116,0.5433962264150943,0.22853112325868455
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,20,18,12.6,1.0,2650.0,210.31746031746036,0.5,0.14285714285714288
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,35,7,3.35,1.0,6500.0,1940.2985074626865,1.0,1.0
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,35,18,5.0,1.0,7000.0,1400.0,1.0769230769230769,0.7215384615384616
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,30,7,4.5,1.0,4790.0,1064.4444444444443,0.7369230769230769,0.5485982905982906
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,30,18,6.4,1.0,5160.0,806.25,0.7938461538461539,0.41552884615384617
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,25,7,6.0,1.0,2900.0,483.33333333333326,0.4461538461538462,0.24910256410256407
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,25,18,10.0,1.0,3320.0,332.0,0.5107692307692308,0.17110769230769232
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,20,7,7.5,1.0,3400.0,453.33333333333326,0.5230769230769231,0.2336410256410256
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,20,18,13.5,1.0,3600.0,266.6666666666667,0.5538461538461539,0.13743589743589746
Panasonic Marketing Europe GmbH,WH-MDC05J3E5 + DGC200,35,7,3.17,1.0,5000.0,1577.2870662460568,1.0,1.0
Panasonic Marketing Europe GmbH,WH-MDC05J3E5 + DGC200,30,7,4.59,1.0,3680.0,801.7429193899782,0.736,0.5083050108932461
Panasonic Marketing Europe GmbH,WH-MDC05J3E5 + DGC200,25,7,6.7,1.0,2370.0,353.73134328358213,0.474,0.22426567164179106
Panasonic Marketing Europe GmbH,WH-MDC05J3E5 + DGC200,20,7,8.62,1.0,1050.0,121.80974477958237,0.21,0.07722737819025523
Panasonic Marketing Europe GmbH,WH-MDC05J3E5 + DGC200,35,18,3.8356999999999997,1.0,5142.5,1340.6940063091483,1.0285,0.85
Panasonic Marketing Europe GmbH,WH-MDC05J3E5 + DGC200,30,18,5.5539,1.0,3651.2959999999994,657.429193899782,0.7302591999999999,0.4168101089324618
Panasonic Marketing Europe GmbH,WH-MDC05J3E5 + DGC200,25,18,8.04,1.0,2189.88,272.3731343283583,0.43797600000000003,0.17268456716417915
Panasonic Marketing Europe GmbH,WH-MDC05J3E5 + DGC200,20,18,8.188999999999998,1.0,628.4249999999998,76.74013921113689,0.12568499999999996,0.04865324825986079
Panasonic Marketing Europe GmbH,WH-MDC07J3E5 + DGC200,35,7,3.15,1.0,6000.0,1904.7619047619046,1.0,1.0
Panasonic Marketing Europe GmbH,WH-MDC07J3E5 + DGC200,30,7,4.43,1.0,4420.0,997.7426636568848,0.7366666666666667,0.5238148984198646
Panasonic Marketing Europe GmbH,WH-MDC07J3E5 + DGC200,25,7,6.36,1.0,2840.0,446.54088050314476,0.47333333333333333,0.23443396226415103
Panasonic Marketing Europe GmbH,WH-MDC07J3E5 + DGC200,20,7,8.11,1.0,1260.0,155.36374845869298,0.21,0.08156596794081382
Panasonic Marketing Europe GmbH,WH-MDC07J3E5 + DGC200,35,18,3.8114999999999997,1.0,6170.999999999998,1619.0476190476188,1.0284999999999997,0.85
Panasonic Marketing Europe GmbH,WH-MDC07J3E5 + DGC200,30,18,5.3603,1.0,4385.523999999999,818.1489841986455,0.7309206666666666,0.4295282167042889
Panasonic Marketing Europe GmbH,WH-MDC07J3E5 + DGC200,25,18,7.632,1.0,2624.1600000000003,343.83647798742146,0.43736,0.1805141509433963
Panasonic Marketing Europe GmbH,WH-MDC07J3E5 + DGC200,20,18,7.7044999999999995,1.0,754.11,97.87916152897658,0.125685,0.05138655980271271
Panasonic Marketing Europe GmbH,WH-MDC09J3E5 + DGC200,35,7,3.06,1.0,7000.0,2287.581699346405,1.0,1.0
Panasonic Marketing Europe GmbH,WH-MDC09J3E5 + DGC200,30,7,4.15,1.0,5160.0,1243.3734939759036,0.7371428571428571,0.5435318416523236
Panasonic Marketing Europe GmbH,WH-MDC09J3E5 + DGC200,25,7,6.11,1.0,3320.0,543.3715220949264,0.4742857142857143,0.23753097965863926
Panasonic Marketing Europe GmbH,WH-MDC09J3E5 + DGC200,20,7,7.64,1.0,1470.0,192.40837696335083,0.21,0.08410994764397908
Panasonic Marketing Europe GmbH,WH-MDC09J3E5 + DGC200,35,18,3.7026,1.0,7199.499999999998,1944.4444444444441,1.0284999999999997,0.85
Panasonic Marketing Europe GmbH,WH-MDC09J3E5 + DGC200,30,18,5.0215000000000005,1.0,5119.752,1019.5662650602409,0.731393142857143,0.44569611015490535
Panasonic Marketing Europe GmbH,WH-MDC09J3E5 + DGC200,25,18,7.332,1.0,3067.6800000000003,418.3960720130933,0.43824,0.18289885433715225
Panasonic Marketing Europe GmbH,WH-MDC09J3E5 + DGC200,20,18,7.257999999999999,1.0,879.7950000000002,121.21727748691103,0.12568500000000002,0.052989267015706824
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD03JE5,35,7,3.95,1.0,3000.0,759.4936708860761,1.0,1.0
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD03JE5,30,7,5.37,1.0,2210.0,411.54562383612665,0.7366666666666667,0.5418684047175667
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD03JE5,25,7,7.44,1.0,1420.0,190.86021505376343,0.47333333333333333,0.2512992831541218
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD03JE5,20,7,8.93,1.0,630.0,70.54871220604703,0.21,0.09288913773796191
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD03JE5,35,18,4.7795,1.0,3085.5000000000005,645.5696202531647,1.0285000000000002,0.85
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD03JE5,30,18,6.4977,1.0,2192.762,337.46741154562386,0.7309206666666668,0.44433209186840467
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD03JE5,25,18,8.928,1.0,1312.0800000000002,146.96236559139786,0.43736,0.1935004480286738
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD03JE5,20,18,8.4835,1.0,377.05499999999995,44.44568868980963,0.125685,0.058520156774916
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD05JE5,35,7,3.47,1.0,4000.0,1152.7377521613832,1.0,1.0
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD05JE5,30,7,5.12,1.0,2950.0,576.171875,0.7375,0.49982910156250004
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD05JE5,25,7,7.31,1.0,1890.0,258.54993160054715,0.4725,0.22429206566347468
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD05JE5,20,7,9.26,1.0,840.0,90.71274298056156,0.21,0.07869330453563715
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD05JE5,35,18,4.1987000000000005,1.0,4114.0,979.8270893371757,1.0285,0.85
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD05JE5,30,18,6.1952,1.0,2926.99,472.4609375,0.7317475,0.40985986328125
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD05JE5,25,18,8.771999999999998,1.0,1746.3599999999994,199.08344733242131,0.43658999999999987,0.17270489056087548
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD05JE5,20,18,8.796999999999999,1.0,502.73999999999995,57.14902807775378,0.125685,0.04957678185745141
Panasonic Marketing Europe GmbH,WH-SDC0709J3E5 / WH-UD09JE5-1,35,7,2.95,1.0,7000.0,2372.8813559322034,1.0,1.0
Panasonic Marketing Europe GmbH,WH-SDC0709J3E5 / WH-UD09JE5-1,30,7,4.0,1.0,5160.0,1290.0,0.7371428571428571,0.5436428571428571
Panasonic Marketing Europe GmbH,WH-SDC0709J3E5 / WH-UD09JE5-1,25,7,5.91,1.0,3320.0,561.7597292724197,0.4742857142857143,0.23674160019337687
Panasonic Marketing Europe GmbH,WH-SDC0709J3E5 / WH-UD09JE5-1,20,7,7.54,1.0,1470.0,194.9602122015915,0.21,0.08216180371352785
Panasonic Marketing Europe GmbH,WH-SDC0709J3E5 / WH-UD09JE5-1,35,18,3.5695,1.0,7199.5,2016.9491525423728,1.0285,0.85
Panasonic Marketing Europe GmbH,WH-SDC0709J3E5 / WH-UD09JE5-1,30,18,4.84,1.0,5119.7519999999995,1057.8,0.7313931428571427,0.4457871428571428
Panasonic Marketing Europe GmbH,WH-SDC0709J3E5 / WH-UD09JE5-1,25,18,7.092,1.0,3067.6800000000003,432.5549915397632,0.43824,0.1822910321489002
Panasonic Marketing Europe GmbH,WH-SDC0709J3E5 / WH-UD09JE5-1,20,18,7.162999999999999,1.0,879.7949999999998,122.82493368700264,0.125685,0.051761936339522543
Viessmann,AWO-M-AC (AF) 101.A06,35,7,3.14,1.0,5020.0,1598.7261146496814,1.0,1.0
Viessmann,AWO-M-AC (AF) 101.A06,30,7,4.03,1.0,3700.0,918.1141439205954,0.7370517928286853,0.5742785681096951
Viessmann,AWO-M-AC (AF) 101.A06,25,7,4.8,1.0,2700.0,562.5,0.5378486055776892,0.35184262948207173
Viessmann,AWO-M-AC (AF) 101.A06,20,7,6.1,1.0,2960.0,485.2459016393443,0.5896414342629482,0.3035203448501078
Viessmann,AWO-M-AC (AF) 101.A06,35,18,3.7994,1.0,5163.07,1358.9171974522292,1.0285,0.85
Viessmann,AWO-M-AC (AF) 101.A06,30,18,4.8763000000000005,1.0,3671.14,752.8535980148882,0.7313027888446215,0.47090842584995
Viessmann,AWO-M-AC (AF) 101.A06,25,18,5.76,1.0,2494.7999999999997,433.125,0.4969721115537848,0.2709188247011952
Viessmann,AWO-M-AC (AF) 101.A06,20,18,5.794999999999999,1.0,1771.5599999999997,305.7049180327869,0.35290039840637444,0.1912178172555679
Viessmann,AWO-M-AC (AF) 101.A08,35,7,3.05,1.0,6080.0,1993.44262295082,1.0,1.0
Viessmann,AWO-M-AC (AF) 101.A08,30,7,4.07,1.0,4490.0,1103.194103194103,0.7384868421052632,0.5534115155825681
Viessmann,AWO-M-AC (AF) 101.A08,25,7,4.84,1.0,2740.0,566.1157024793389,0.4506578947368421,0.2839889625924315
Viessmann,AWO-M-AC (AF) 101.A08,20,7,6.34,1.0,3020.0,476.3406940063092,0.4967105263157895,0.23895380209198075
Viessmann,AWO-M-AC (AF) 101.A08,35,18,3.6904999999999997,1.0,6253.28,1694.426229508197,1.0285,0.85
Viessmann,AWO-M-AC (AF) 101.A08,30,18,4.9247000000000005,1.0,4454.977999999999,904.6191646191644,0.732726644736842,0.4537974427777058
Viessmann,AWO-M-AC (AF) 101.A08,25,18,5.808,1.0,2531.76,435.90909090909093,0.41640789473684214,0.21867150119617224
Viessmann,AWO-M-AC (AF) 101.A08,20,18,6.023,1.0,1807.4700000000003,300.0946372239748,0.29728125000000005,0.15054089531794787
Viessmann,AWO-M-AC (AF) 101.A12,35,7,3.05,1.0,8510.0,2790.16393442623,1.0,1.0
Viessmann,AWO-M-AC (AF) 101.A12,30,7,4.03,1.0,6280.0,1558.3126550868485,0.7379553466509988,0.5585021854306566
Viessmann,AWO-M-AC (AF) 101.A12,25,7,4.58,1.0,3980.0,868.9956331877728,0.46768507638072854,0.3114496687688257
Viessmann,AWO-M-AC (AF) 101.A12,20,7,6.08,1.0,4230.0,695.7236842105265,0.4970622796709753,0.24934867647968337
Viessmann,AWO-M-AC (AF) 101.A12,35,18,3.6904999999999997,1.0,8752.535,2371.6393442622953,1.0285,0.85
Viessmann,AWO-M-AC (AF) 101.A12,30,18,4.8763000000000005,1.0,6231.016,1277.8163771712157,0.732199294947121,0.45797179205313837
Viessmann,AWO-M-AC (AF) 101.A12,25,18,5.4959999999999996,1.0,3677.519999999999,669.126637554585,0.43214101057579307,0.2398162449519958
Viessmann,AWO-M-AC (AF) 101.A12,20,18,5.776,1.0,2531.6550000000007,438.3059210526317,0.29749177438307883,0.15708966618220052
Viessmann,AWO-M-AC (AF) 101.A10,35,7,3.15,1.0,7530.0,2390.4761904761904,1.0,1.0
Viessmann,AWO-M-AC (AF) 101.A10,30,7,3.92,1.0,5490.0,1400.5102040816328,0.7290836653386454,0.5858708025042687
Viessmann,AWO-M-AC (AF) 101.A10,25,7,4.46,1.0,3560.0,798.2062780269058,0.47277556440903057,0.33391099280010006
Viessmann,AWO-M-AC (AF) 101.A10,20,7,6.07,1.0,4350.0,716.6392092257,0.5776892430278885,0.29978931063226494
Viessmann,AWO-M-AC (AF) 101.A10,35,18,3.8114999999999997,1.0,7744.604999999999,2031.9047619047617,1.0284999999999997,0.85
Viessmann,AWO-M-AC (AF) 101.A10,30,18,4.7432,1.0,5447.178,1148.4183673469388,0.7233968127490039,0.4804140580535003
Viessmann,AWO-M-AC (AF) 101.A10,25,18,5.351999999999999,1.0,3289.44,614.6188340807175,0.4368446215139442,0.2571114644560771
Viessmann,AWO-M-AC (AF) 101.A10,20,18,5.7665,1.0,2603.4749999999995,451.482701812191,0.34574701195219115,0.18886726569832693
Viessmann,AWO-M-AC (AF) 101.A14,35,7,3.25,1.0,11480.0,3532.3076923076924,1.0,1.0
Viessmann,AWO-M-AC (AF) 101.A14,30,7,4.31,1.0,8470.0,1965.1972157772625,0.7378048780487805,0.5563493859996606
Viessmann,AWO-M-AC (AF) 101.A14,25,7,4.91,1.0,5410.0,1101.8329938900204,0.4712543554006969,0.3119300723120702
Viessmann,AWO-M-AC (AF) 101.A14,20,7,6.52,1.0,5530.0,848.159509202454,0.4817073170731707,0.24011484363309893
Viessmann,AWO-M-AC (AF) 101.A14,35,18,3.9325,1.0,11807.18,3002.4615384615386,1.0285,0.85
Viessmann,AWO-M-AC (AF) 101.A14,30,18,5.2151,1.0,8403.934,1611.461716937355,0.73205,0.45620649651972156
Viessmann,AWO-M-AC (AF) 101.A14,25,18,5.892,1.0,4998.84,848.4114052953157,0.4354390243902439,0.24018615568029408
Viessmann,AWO-M-AC (AF) 101.A14,20,18,6.193999999999999,1.0,3309.705,534.3404907975461,0.2883018292682927,0.15127235148885232
Viessmann,AWO-M-AC (AF) 101.A16,35,7,3.15,1.0,13800.0,4380.952380952381,1.0,1.0
Viessmann,AWO-M-AC (AF) 101.A16,30,7,4.36,1.0,10170.0,2332.568807339449,0.7369565217391304,0.5324341842840047
Viessmann,AWO-M-AC (AF) 101.A16,25,7,5.3,1.0,6470.0,1220.754716981132,0.4688405797101449,0.27865053322395406
Viessmann,AWO-M-AC (AF) 101.A16,20,7,6.53,1.0,5530.0,846.8606431852986,0.4007246376811594,0.19330514681403557
Viessmann,AWO-M-AC (AF) 101.A16,35,18,3.8114999999999997,1.0,14193.299999999997,3723.8095238095234,1.0284999999999997,0.85
Viessmann,AWO-M-AC (AF) 101.A16,30,18,5.2756,1.0,10090.673999999997,1912.7064220183481,0.731208260869565,0.4365960311128838
Viessmann,AWO-M-AC (AF) 101.A16,25,18,6.359999999999999,1.0,5978.28,939.9811320754717,0.4332086956521739,0.21456091058244464
Viessmann,AWO-M-AC (AF) 101.A16,20,18,6.2035,1.0,3309.705,533.5222052067381,0.2398336956521739,0.1217822424928424
